date,cycle,Wind direction,Wind speed (m/s),temperature (ｰC),irradiance (W/m2),Rain (mm/h)
3/14/20 15:00,13/03/2020 00h,331.184114356047,5.03874291128764,23.53994140625,699.689819335938,0
3/14/20 16:00,14/03/2020 00h,341.727757827719,6.08903538515341,22.0899291992188,579.475891113281,0
3/14/20 16:00,13/03/2020 12h,330.46467188652,5.39397822862089,21.529931640625,579.475891113281,0
3/14/20 16:00,13/03/2020 00h,332.727201924304,5.06670643975367,22.4699645996094,579.475891113281,0
3/14/20 17:00,14/03/2020 00h,344.189984445998,5.70628689990155,20.710107421875,416.155822753906,0
3/14/20 17:00,13/03/2020 12h,333.386663125193,5.08314527080072,19.99990234375,416.155822753906,0
3/14/20 17:00,13/03/2020 00h,335.401480801789,4.70150399777781,21.0999389648438,416.155822753906,0
3/14/20 18:00,14/03/2020 00h,346.848952838014,5.13012410546519,18.9699951171875,220.859451293945,0
3/14/20 18:00,13/03/2020 12h,337.632317432202,4.51537133874501,18.2200866699219,220.859451293945,0
3/14/20 18:00,13/03/2020 00h,339.206842886627,4.31992887221184,19.3499694824219,220.859451293945,0
3/14/20 19:00,14/03/2020 00h,356.107015194402,4.33942907371434,17.2099853515625,6.89605712890625,0
3/14/20 19:00,13/03/2020 12h,346.144385216839,3.7306044423855,16.739892578125,6.89605712890625,0
3/14/20 19:00,13/03/2020 00h,347.28339838366,3.75118070615222,17.4698120117188,6.89605712890625,0
3/14/20 20:00,14/03/2020 00h,8.58589922279854,3.85773864786382,16.2700439453125,0,0
3/14/20 20:00,13/03/2020 12h,355.313633955867,3.11175310194688,15.8999877929688,0,0
3/14/20 20:00,13/03/2020 00h,357.984613773299,3.05541332172931,16.4199768066406,0,0
3/14/20 21:00,14/03/2020 00h,14.7658555577197,3.3542193341129,15.730126953125,0,0
3/14/20 21:00,13/03/2020 12h,3.14406831813251,2.59909629538832,15.360009765625,0,0
3/14/20 21:00,13/03/2020 00h,3.64356299732883,2.47297543365141,15.8100219726563,0,0
3/14/20 22:00,14/03/2020 00h,15.3168324957706,2.81774692505945,15.4999938964844,0,0
3/14/20 22:00,13/03/2020 12h,1.82883751698044,2.09070318586578,14.8999572753906,0,0
3/14/20 22:00,13/03/2020 00h,359.157345379181,2.02847292930095,15.3000732421875,0,0
3/14/20 23:00,14/03/2020 00h,17.2019485607233,2.17745327307111,15.28994140625,0,0
3/14/20 23:00,13/03/2020 12h,9.96142302564836,1.51275943297759,14.4699340820313,0,0
3/14/20 23:00,13/03/2020 00h,349.227380357688,1.81736616862352,14.8699890136719,0,0
3/15/20 0:00,15/03/2020 00h,24.509045684026,2.25849670952157,14.3600708007813,0,0
3/15/20 0:00,14/03/2020 12h,15.3822258910293,1.50144288192483,14.7199951171875,0,0
3/15/20 0:00,14/03/2020 00h,29.1769382161836,1.9929321909176,15.1899353027344,0,0
3/15/20 0:00,13/03/2020 12h,7.77133086765253,1.11340105231762,14.0100036621094,0,0
3/15/20 0:00,13/03/2020 00h,350.195245518877,1.47709347937523,14.5700012207031,0,0
3/15/20 1:00,15/03/2020 00h,16.4532423086152,1.35915497267886,13.8899475097656,0,0
3/15/20 1:00,14/03/2020 12h,24.653901894172,1.00042378784472,14.2599731445313,0,0
3/15/20 1:00,14/03/2020 00h,47.0316495143115,1.90867781385421,15.0801635742188,0,0
3/15/20 1:00,13/03/2020 12h,16.3216386600782,0.883573815842165,13.5299926757813,0,0
3/15/20 2:00,15/03/2020 00h,19.4027321701176,1.81486131513465,13.7399536132813,0,0
3/15/20 2:00,14/03/2020 12h,0.420477917262587,0.748203517487979,13.8299194335938,0,0
3/15/20 2:00,14/03/2020 00h,43.4234419976196,1.81016526254826,14.7700134277344,0,0
3/15/20 2:00,13/03/2020 12h,8.84121806099182,0.631986845789994,13.16005859375,0,0
3/15/20 3:00,15/03/2020 00h,5.32354741790663,1.58979122326615,13.5599609375,0,0
3/15/20 3:00,14/03/2020 12h,328.468049406365,0.993325846743691,13.5900817871094,0,0
3/15/20 3:00,14/03/2020 00h,354.52914106231,1.7166074944898,14.3100219726563,0,0
3/15/20 3:00,13/03/2020 12h,341.707364661189,0.718452456235009,12.9899841308594,0,0
3/15/20 4:00,15/03/2020 00h,11.9041998296238,1.45111495046358,13.5200134277344,0,0
3/15/20 4:00,14/03/2020 12h,321.442517434697,0.691534969866548,13.2700439453125,0,0
3/15/20 4:00,14/03/2020 00h,346.525369166325,1.64690265838426,13.9799743652344,0,0
3/15/20 4:00,13/03/2020 12h,336.795183778225,0.435727755985664,12.6999450683594,0,0
3/15/20 5:00,15/03/2020 00h,22.536959003209,1.29213286621544,13.6400085449219,0,0
3/15/20 5:00,14/03/2020 12h,313.931656279637,0.220941924936509,12.9299865722656,0,0
3/15/20 5:00,14/03/2020 00h,346.773603703367,1.8699334443346,14.0099731445313,0,0
3/15/20 5:00,13/03/2020 12h,292.947579104211,0.150639939916161,12.53994140625,0,0
3/15/20 6:00,15/03/2020 00h,50.8775132095561,1.06441026794771,13.9699951171875,0,0
3/15/20 6:00,14/03/2020 12h,151.663551720456,0.548528982068439,12.8400817871094,0,0
3/15/20 6:00,14/03/2020 00h,4.3403352825883,1.55408569097739,14.0999694824219,0,0
3/15/20 6:00,13/03/2020 12h,155.170373874702,0.125025924960532,12.6100402832031,0,0.0200190003961325
3/15/20 7:00,15/03/2020 00h,70.1716875746369,0.954918797825273,14.2500854492188,0,0
3/15/20 7:00,14/03/2020 12h,147.980817899657,1.14923706803972,12.8999267578125,0,0
3/15/20 7:00,14/03/2020 00h,23.3948021221017,1.16296063821367,14.0800415039063,0,0
3/15/20 7:00,13/03/2020 12h,75.0905415889832,0.123404602033714,12.8601013183594,0,0
3/15/20 8:00,15/03/2020 00h,50.285978892931,0.605539420376244,14.5299011230469,63.6326141357422,0
3/15/20 8:00,14/03/2020 12h,153.679131135331,1.12288646046347,13.8599182128906,41.6959114074707,0
3/15/20 8:00,14/03/2020 00h,39.1586813773067,0.775228424878987,14.6099487304688,74.2866668701172,0
3/15/20 8:00,13/03/2020 12h,266.707970557889,0.347878998220924,14.2701354980469,30.8857536315918,0
3/15/20 9:00,15/03/2020 00h,4.6171536089934,0.862470460615057,15.279931640625,129.912063598633,0
3/15/20 9:00,14/03/2020 12h,189.193432272196,0.308480575811483,15.4399963378906,316.994476318359,0
3/15/20 9:00,14/03/2020 00h,23.3491856531958,1.20803831357421,15.7601257324219,204.915237426758,0.0190430004149675
3/15/20 9:00,13/03/2020 12h,281.02653826374,0.655532611285866,15.2800537109375,89.2093734741211,0
3/15/20 10:00,15/03/2020 00h,341.482097644396,1.23546149445323,16.3900085449219,134.861801147461,0.192993998527527
3/15/20 10:00,14/03/2020 12h,321.979483154775,1.01019998734682,17.1899963378906,499.269409179688,0
3/15/20 10:00,14/03/2020 00h,26.0708436271818,1.20235373728921,16.9399047851563,304.032165527344,0
3/15/20 10:00,13/03/2020 12h,285.573208333484,0.988501839772952,16.3899780273438,124.817352294922,0
3/15/20 11:00,15/03/2020 00h,330.600334762756,1.44706584312994,17.2200866699219,161.037887573242,0.187255993485451
3/15/20 11:00,14/03/2020 12h,310.411565351148,1.92392792652153,19.0499206542969,173.997116088867,0
3/15/20 11:00,14/03/2020 00h,348.023060761473,1.37874793085446,18.4400573730469,644.151550292969,0
3/15/20 11:00,13/03/2020 12h,285.954629679643,1.38992452438728,17.6501403808594,210.742279052734,0
3/15/20 12:00,15/03/2020 00h,324.522787428362,1.81088907813268,18.2701049804688,334.841400146484,0.235351011157036
3/15/20 12:00,14/03/2020 12h,300.139498485109,2.89036868049361,20.2700134277344,200.364990234375,0
3/15/20 12:00,14/03/2020 00h,314.612197047713,2.62197360735141,20.5898986816406,741.767578125,0
3/15/20 12:00,13/03/2020 12h,287.815379358246,2.13137991268842,19.3601623535156,283.318542480469,0
3/15/20 13:00,15/03/2020 00h,311.859085296423,2.42295043799093,19.2699523925781,785.465026855469,0.338012993335724
3/15/20 13:00,14/03/2020 12h,293.851543829436,3.91253383767353,20.9800048828125,319.911651611328,0
3/15/20 13:00,14/03/2020 00h,306.01699208836,4.15424300476221,21.6799865722656,785.465026855469,0
3/15/20 14:00,15/03/2020 00h,301.554174158854,3.7823802119392,20.6098876953125,772.265991210938,0.0371089987456799
3/15/20 14:00,14/03/2020 12h,290.044749037533,4.74561139764887,21.1999755859375,772.265991210938,0
3/15/20 14:00,14/03/2020 00h,304.653827961825,5.09919557026224,21.7098327636719,772.265991210938,0
3/15/20 15:00,15/03/2020 00h,300.677801841764,4.94729435957882,20.8000122070313,703.070007324219,0
3/15/20 15:00,14/03/2020 12h,293.671387408913,5.04625972674602,20.7499328613281,640.682861328125,0
3/15/20 15:00,14/03/2020 00h,309.141268561025,5.43953844226655,21.1300598144531,703.070007324219,0
3/15/20 16:00,15/03/2020 00h,304.719962434156,5.17732985262059,19.8600402832031,582.592651367188,0
3/15/20 16:00,14/03/2020 12h,301.841301916077,5.02033770811127,19.9800048828125,559.468566894531,0
3/15/20 16:00,14/03/2020 00h,317.071325121169,5.08001658848752,20.3100219726563,582.592651367188,0
3/15/20 17:00,15/03/2020 00h,310.265161300376,4.82234388044185,18.6099792480469,419.044219970703,0
3/15/20 17:00,14/03/2020 12h,311.5588691136,4.80223121598575,19.0300537109375,419.044219970703,0
3/15/20 17:00,14/03/2020 00h,326.760969113918,4.85478026765961,19.4299865722656,419.044219970703,0
3/15/20 18:00,15/03/2020 00h,317.042764485094,4.19912355541008,17.2600036621094,223.570358276367,0
3/15/20 18:00,14/03/2020 12h,322.193271136434,4.20763077744534,17.8699890136719,223.570358276367,0
3/15/20 18:00,14/03/2020 00h,337.035093218841,4.64079314534218,18.2700134277344,223.570358276367,0
3/15/20 19:00,15/03/2020 00h,329.792536623945,3.56138006070268,15.9099365234375,9.49228286743164,0
3/15/20 19:00,14/03/2020 12h,332.780435591237,3.65351649361326,16.6098876953125,8.7123441696167,0
3/15/20 19:00,14/03/2020 00h,350.50487322061,4.26474355589827,16.9199768066406,9.49228286743164,0
3/15/20 20:00,15/03/2020 00h,343.876283642659,3.28692389700356,15.1299377441406,0,0
3/15/20 20:00,14/03/2020 12h,341.989904541573,3.27837466980715,15.7300354003906,0,0
3/15/20 20:00,14/03/2020 00h,1.37799012068077,3.98219546002745,16.0399719238281,0,0
3/15/20 21:00,15/03/2020 00h,357.468961741551,3.29528774282573,14.6399475097656,0,0
3/15/20 21:00,14/03/2020 12h,355.650718432846,3.05802229607681,15.2100158691406,0,0
3/15/20 21:00,14/03/2020 00h,9.04036859939904,3.7882118065565,15.4100280761719,0,0
3/15/20 22:00,15/03/2020 00h,10.5117010317591,3.24346107248394,14.4799438476563,0,0
3/15/20 22:00,14/03/2020 12h,9.94784648852643,3.07756666899584,15.2299743652344,0,0
3/15/20 22:00,14/03/2020 00h,13.8849464832752,3.71454333852578,14.9800048828125,0,0
3/15/20 23:00,15/03/2020 00h,23.3473978630971,3.08653054352347,14.7000671386719,0,0
3/15/20 23:00,14/03/2020 12h,25.5881024413807,2.70185260776051,15.3499694824219,0,0
3/15/20 23:00,14/03/2020 00h,17.1718700840862,3.56807381211302,14.7900634765625,0,0
3/16/20 0:00,16/03/2020 00h,31.0560493722379,2.7107152631198,15.4199768066406,0,0
3/16/20 0:00,15/03/2020 12h,32.5588868934075,2.73802830236112,15.5300231933594,0,0.017578000202775
3/16/20 0:00,15/03/2020 00h,26.6322370896901,2.85693351127252,14.9199768066406,0,0.0170900002121925
3/16/20 0:00,14/03/2020 12h,35.0940992508665,2.13206891792441,15.2998596191406,0,0
3/16/20 0:00,14/03/2020 00h,26.3448186264427,3.24140858603303,14.8898864746094,0,0
3/16/20 1:00,16/03/2020 00h,66.344604406366,1.74848920572909,15.1701293945313,0,0
3/16/20 1:00,15/03/2020 12h,36.6118100106169,2.62306147162213,15.5800109863281,0,0
3/16/20 1:00,15/03/2020 00h,22.1032310349077,2.59511018662489,15.0400634765625,0,0.0214850008487701
3/16/20 1:00,14/03/2020 12h,28.0947384962804,1.69458344553909,15.3100830078125,0,0
3/16/20 2:00,16/03/2020 00h,50.9477833817514,1.28444445190919,15.1200500488281,0,0
3/16/20 2:00,15/03/2020 12h,26.8247833867634,2.8051828870624,15.3698974609375,0,0
3/16/20 2:00,15/03/2020 00h,19.1231507003224,2.41956276172684,15.0801025390625,0,0.015136000700295
3/16/20 2:00,14/03/2020 12h,42.9003989801186,1.26444782886106,15.3998962402344,0,0
3/16/20 3:00,16/03/2020 00h,57.8501757640935,1.19698189808951,15.0999694824219,0,0
3/16/20 3:00,15/03/2020 12h,26.3315856385796,3.13022218226447,15.2399841308594,0,0
3/16/20 3:00,15/03/2020 00h,18.0709334555652,2.50941652957243,15.0501342773438,0,0
