cos_wind_dir,f_period,datetime,present_time,sin_wind_dir,pred_speed,pred_wind_dir,numtech_speed,numtech_wind_dir
0.057512491941452026,19.0,2020-11-26 05:00:00,2020-11-25 10:00:00,-0.6939510107040405,4.024899959564209,273.2970423610501,5.3,265.0
-0.24185121059417725,20.0,2020-11-26 06:00:00,2020-11-25 10:00:00,-0.4565332531929016,4.547830104827881,256.00417389833206,4.7,258.0
-0.020018160343170166,21.0,2020-11-26 07:00:00,2020-11-25 10:00:00,-0.3983275890350342,3.7907302379608154,268.85296728223943,5.2,253.0
-0.39516568183898926,22.0,2020-11-26 08:00:00,2020-11-25 10:00:00,-0.27976542711257935,3.5564968585968018,246.72369238741578,4.1,228.99999999999994
-0.5356504917144775,23.0,2020-11-26 09:00:00,2020-11-25 10:00:00,-0.18856990337371826,4.128336429595947,237.6119630815665,4.3,217.0
-0.5513788461685181,24.0,2020-11-26 10:00:00,2020-11-25 10:00:00,-0.2087697982788086,4.743982791900635,236.53834090757198,4.7,217.99999999999997
-0.6282119750976562,25.0,2020-11-26 11:00:00,2020-11-25 10:00:00,-0.5143482685089111,4.356768608093262,231.0816718459285,5.6,216.0
-0.2566488981246948,26.0,2020-11-26 12:00:00,2020-11-25 10:00:00,-0.12011390924453735,3.2813103199005127,255.12868789695122,,
-0.01697307825088501,27.0,2020-11-26 13:00:00,2020-11-25 10:00:00,-0.03504812717437744,3.2525992393493652,269.0274675516695,,
0.26568031311035156,28.0,2020-11-26 14:00:00,2020-11-25 10:00:00,-0.3938392996788025,3.957240104675293,285.407381024018,,
0.3563714027404785,29.0,2020-11-26 15:00:00,2020-11-25 10:00:00,-0.3580537438392639,3.994699001312256,290.87751791564483,,
0.41388577222824097,30.0,2020-11-26 16:00:00,2020-11-25 10:00:00,-0.45730698108673096,3.6007919311523438,294.44916783351715,,
0.2162393033504486,31.0,2020-11-26 17:00:00,2020-11-25 10:00:00,-0.39864540100097656,3.309619665145874,282.4882446611962,,
0.23554959893226624,32.0,2020-11-26 18:00:00,2020-11-25 10:00:00,-0.471061110496521,3.071017026901245,283.62402195462425,,
0.4095936417579651,33.0,2020-11-26 19:00:00,2020-11-25 10:00:00,-0.33444464206695557,2.497333526611328,294.1793105699359,,
0.15228399634361267,34.0,2020-11-26 20:00:00,2020-11-25 10:00:00,0.014814823865890503,2.3954720497131348,81.24068923771266,,
-0.061459124088287354,35.0,2020-11-26 21:00:00,2020-11-25 10:00:00,0.03865140676498413,2.1126856803894043,93.52356901962226,,
-0.10293471813201904,36.0,2020-11-26 22:00:00,2020-11-25 10:00:00,0.580123782157898,2.128788948059082,95.90818983422547,,
0.14927464723587036,37.0,2020-11-26 23:00:00,2020-11-25 10:00:00,0.5389689803123474,2.4184937477111816,81.41510634481222,,
-0.10586655139923096,38.0,2020-11-27 00:00:00,2020-11-25 10:00:00,0.7542063593864441,2.9291861057281494,96.07709457949105,,
