speed,dangerous,sin_wind_dir,dangerous_proba,scenario,cos_wind_dir,true,baseline,dangerous_indirect
3.662242,0.0,0.7742989,0.00090467476,1.0,0.6026816,0.0,0.0,0
3.9180548,0.0,0.7883799,0.0020807933,1.0,0.6048638,0.0,0.0,0
3.7336574,0.0,0.78351986,0.009296775,1.0,0.59553856,0.0,0.0,0
3.6337762,0.0,0.7837075,0.0023298098,1.0,0.57303524,0.0,0.0,0
4.4748836,0.0,0.76193297,0.002502055,1.0,0.5864632,0.0,0.0,0
4.7212768,0.0,0.7141811,0.0010137134,1.0,0.6028327,0.0,0.0,0
4.3680425,0.0,0.5833555,0.0027886357,1.0,0.67893255,0.0,0.0,0
4.755975,0.0,0.16818921,0.0016286573,1.0,0.7890834,0.0,0.0,0
5.744178,0.0,-0.40156835,0.00030005228,1.0,0.8464286,0.0,0.0,0
7.4642916,0.0,-0.516387,0.00022486852,1.0,0.83951724,0.0,0.0,0
8.061386,0.0,-0.5156155,0.00049191876,1.0,0.86631775,0.0,0.0,0
7.9744754,0.0,-0.67685944,0.00017046432,1.0,0.84790653,0.0,0.0,0
7.5608883,0.0,-0.6387791,0.00019668629,1.0,0.84657824,0.0,0.0,0
6.1245584,0.0,-0.30038315,0.0006364875,1.0,0.9007079,0.0,0.0,0
5.5977883,0.0,-0.2347348,0.00044042486,1.0,0.8656313,0.0,0.0,0
5.305207,0.0,-0.028423378,0.00056884094,1.0,0.89478654,0.0,0.0,0
5.044045,0.0,0.08107755,0.0013259912,1.0,0.8393736,0.0,0.0,0
4.72589,0.0,0.36678842,0.0017029714,1.0,0.7759415,0.0,0.0,0
4.759891,0.0,0.4949163,0.0011232413,1.0,0.71741986,0.0,0.0,0
3.8364668,0.0,0.64589936,0.0025608647,1.0,0.65148145,0.0,0.0,0
3.853113,0.0,0.744054,0.0019244519,1.0,0.64037925,0.0,0.0,0
3.986476,0.0,0.73452723,0.0013407156,1.0,0.65883756,0.0,0.0,0
4.1692142,0.0,0.71145576,0.002374076,1.0,0.6867689,0.0,0.0,0
4.0981,0.0,0.7550388,0.0026305916,1.0,0.6719334,0.0,0.0,0
3.9097712,0.0,0.8190433,0.0023011041,1.0,0.54858196,0.0,0.0,0
3.7860916,0.0,0.7313117,0.0048991996,1.0,0.64619464,0.0,0.0,0
3.9924827,0.0,0.7339591,0.0021661795,1.0,0.61585057,0.0,0.0,0
4.373208,0.0,0.79100716,0.0011527807,1.0,0.5900915,0.0,0.0,0
5.0692863,0.0,0.80853844,0.0017875349,1.0,0.52392083,0.0,0.0,0
5.1761446,0.0,0.74972725,0.001438762,1.0,0.6250648,0.0,0.0,0
5.27862,0.0,0.62018853,0.0013791077,1.0,0.65718216,0.0,0.0,0
5.1749697,0.0,0.60947174,0.00080345635,1.0,0.5514019,0.0,0.0,0
5.019647,0.0,0.4340514,0.00095089263,1.0,0.6573873,0.0,0.0,0
5.219822,0.0,0.3063797,0.00059678504,1.0,0.8031529,0.0,0.0,0
6.078113,0.0,-0.3198453,0.00046382268,1.0,0.8559787,0.0,0.0,0
6.6222486,0.0,-0.40108043,0.00032311655,1.0,0.85973454,0.0,0.0,0
6.7249546,0.0,-0.17707947,0.00020157342,1.0,0.87310183,0.0,0.0,0
6.171028,0.0,-0.16985436,0.0002665419,1.0,0.84533745,0.0,0.0,0
5.495995,0.0,0.03296635,0.0003446435,1.0,0.8621678,0.0,0.0,0
5.5066233,0.0,0.2638137,0.00074009533,1.0,0.8305895,0.0,0.0,0
5.065649,0.0,0.29459038,0.0007479556,1.0,0.79979396,0.0,0.0,0
4.7513657,0.0,0.51170045,0.0019631493,1.0,0.7247168,0.0,0.0,0
5.3606305,0.0,0.67798644,0.0019623383,1.0,0.66414523,0.0,0.0,0
5.3406816,0.0,0.72247183,0.0016914842,1.0,0.64260375,0.0,0.0,0
5.083293,0.0,0.7653992,0.0036771076,1.0,0.5657676,0.0,0.0,0
5.097316,0.0,0.8177768,0.0016151753,1.0,0.47108492,0.0,0.0,0
4.7593865,0.0,0.7657351,0.00094476267,1.0,0.57045424,0.0,0.0,0
4.3384323,0.0,0.7515265,0.0013467926,1.0,0.64478344,0.0,0.0,0
4.2879386,0.0,0.7198549,0.0013031028,1.0,0.6537677,0.0,0.0,0
5.37507,0.0,0.84422755,0.0021207803,1.0,0.5322559,0.0,0.0,0
5.363776,0.0,0.8266806,0.0013161754,1.0,0.51730263,0.0,0.0,0
