day;hour;wind_dir;speed;temp;details;scenario;radiation;precip
02/01/2016;09h30;90;4.1;11.1;mesure;S1;208;0
02/01/2016;09h45;88;4;11.8;mesure;S1;253;0
02/01/2016;10h00;73;3.7;12.6;mesure;S1;263;0
02/01/2016;10h15;79;4;13.6;mesure;S1;318;0
02/01/2016;10h30;85;3.7;14.6;mesure;S1;346;0
02/01/2016;10h45;87;3.5;15.6;mesure;S1;374;0
02/01/2016;11h00;101;2.8;16.5;mesure;S1;398;0
02/01/2016;11h15;107;2.3;17.3;mesure;S1;422;0
02/01/2016;11h30;347;0.6;18.2;mesure;S2;447;0
02/01/2016;11h45;269;2;18.1;mesure;S2;398;0
02/01/2016;12h00;266;2.3;17.5;mesure;S2;439;0
02/01/2016;12h15;268;2.4;17.6;mesure;S2;472;0
02/01/2016;12h30;257;2.4;18;mesure;S2;475;0
02/01/2016;12h45;237;3;18.1;mesure;S2;478;0
02/01/2016;13h00;237;3.3;17.4;mesure;S2;479;0
02/01/2016;13h15;217;3.4;17;mesure;S2;481;0
02/01/2016;13h30;242;3;17;mesure;S2;471;0
02/01/2016;13h45;269;3.4;17.2;mesure;S2;465;0
02/01/2016;14h00;260;3.4;17.3;mesure;S2;454;0
02/01/2016;14h15;273;3;17.5;mesure;S2;435;0
02/01/2016;14h30;266;3.4;17.4;mesure;S2;418;0
02/01/2016;14h45;256;3.4;17.7;mesure;S2;400;0
02/01/2016;15h00;264;3.4;17.8;mesure;S2;376;0
02/01/2016;15h15;296;3.3;18;mesure;S1;353;0
02/01/2016;15h30;296;3.9;17.6;mesure;S1;322;0
02/01/2016;15h45;294;4;17.6;mesure;S1;293;0
02/01/2016;16h00;294;3.6;17.8;mesure;S1;261;0
02/01/2016;16h15;287;3.3;17.7;mesure;S2;217;0
02/01/2016;16h30;299;3;17.8;mesure;S1;172;0
02/01/2016;16h45;304;4.3;17.3;mesure;S1;85;0
02/01/2016;17h00;297;4.2;17.2;mesure;S1;60;0
02/01/2016;17h15;298;3.8;17.1;mesure;S1;41;0
02/01/2016;17h30;304;3.9;16.9;mesure;S1;22;0
02/01/2016;17h45;310;3.3;16.8;mesure;S1;11;2.4
02/01/2016;18h00;313;2.8;16.6;mesure;S1;3;0
02/01/2016;18h15;330;2.7;16.5;mesure;S1;0;0
02/01/2016;18h30;334;2.1;16.4;mesure;S1;0;0
02/01/2016;18h45;356;1.4;16.2;mesure;S1;0;0
02/01/2016;19h00;332;1.5;16.2;mesure;S1;0;0
02/01/2016;19h15;346;1;16.1;mesure;S2;0;0
02/01/2016;19h30;25;1.3;15.8;mesure;S1;0;0
02/01/2016;19h45;12;1.3;15.8;mesure;S1;0;0
02/01/2016;20h00;34;1.4;15.7;mesure;S1;0;0
02/01/2016;20h15;79;1.7;13.9;mesure;S1;0;0
02/01/2016;20h30;95;2.4;13.7;mesure;S1;0;0
02/01/2016;20h45;98;2.6;13.7;mesure;S1;0;0
02/01/2016;21h00;102;2.4;13.4;mesure;S1;0;0
02/01/2016;21h15;94;2.6;13.1;mesure;S1;0;0
02/01/2016;21h30;89;2.9;12.7;mesure;S1;0;2.4
02/01/2016;21h45;90;3.4;12.6;mesure;S1;0;0
02/01/2016;22h00;96;3.1;12.4;mesure;S1;0;0
02/01/2016;22h15;100;3.3;12.5;mesure;S1;0;0
02/01/2016;22h30;98;3.4;12.6;mesure;S1;0;0
02/01/2016;22h45;96;3.6;12.7;mesure;S1;0;0
02/01/2016;23h00;99;3.6;12.8;mesure;S1;0;0
02/01/2016;23h15;90;3.8;12.8;mesure;S1;0;0
02/01/2016;23h30;94;4;12.7;mesure;S1;0;0
02/01/2016;23h45;91;3.8;12.7;mesure;S1;0;0
03/01/2016;00h00;92;3.8;12.5;mesure;S1;0;0
03/01/2016;00h15;93;4.2;12.2;mesure;S1;0;0
03/01/2016;00h30;96;4.3;12;mesure;S1;0;0
03/01/2016;00h45;101;4.1;11.9;mesure;S1;0;0
03/01/2016;01h00;103;3.8;12;mesure;S1;0;0
03/01/2016;01h15;95;3.4;12.2;mesure;S1;0;0
03/01/2016;01h30;98;3.8;12;mesure;S1;0;0
03/01/2016;01h45;92;3;11.8;mesure;S1;0;0
03/01/2016;02h00;85;3.2;11.5;mesure;S1;0;0
03/01/2016;02h15;88;3.5;11.1;mesure;S1;0;0
03/01/2016;02h30;92;3.2;11.1;mesure;S1;0;0
03/01/2016;02h45;93;3.5;11.2;mesure;S1;0;0
03/01/2016;03h00;83;3.2;10.8;mesure;S1;0;0
03/01/2016;03h15;84;3.3;10.4;mesure;S1;0;0
03/01/2016;03h30;87;3;10.3;mesure;S1;0;0
03/01/2016;03h45;81;2.6;10.4;mesure;S1;0;0
03/01/2016;04h00;88;3.2;10.3;mesure;S1;0;0
03/01/2016;04h15;83;2.9;9.8;mesure;S1;0;0
03/01/2016;04h30;78;3;9.6;mesure;S1;0;0
03/01/2016;04h45;87;3.7;9.2;mesure;S1;0;0
03/01/2016;05h00;89;3.6;9.1;mesure;S1;0;0
